[2024-11-05 10:52:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:53:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:54:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
