[2024-10-28 18:29:49] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:29:59] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:30:09] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:30:19] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:30:29] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:30:39] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:30:49] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:30:59] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:31:09] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:31:19] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:31:29] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:31:39] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:31:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:32:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:32:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:32:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:32:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:32:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:32:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:33:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:33:10] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:33:20] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:33:30] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:33:40] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:33:50] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:34:00] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
